experiment,scenario,N,selector,baseline,n_pairs,mean_gain,gain_ci_low,gain_ci_high,wins,losses,ties,win_rate,sign_test_p,paired_effect_size
A_controlled_object_binding,good,32,oracle,raw,16,0.16099931727054537,0.11613010997455336,0.20586852456653737,16,0,0,1.0,3.0517578125e-05,1.7582139337151643
A_controlled_object_binding,good,64,oracle,raw,16,0.2741940861172509,0.1384150712051605,0.40997310102934126,16,0,0,1.0,3.0517578125e-05,0.9895130133654354
A_controlled_object_binding,hidden_property,1,oracle,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,hidden_property,2,oracle,raw,16,0.15725875188891086,0.04831472919084914,0.2662027745869726,8,0,8,0.5,0.0078125,0.7073062524882999
A_controlled_object_binding,hidden_property,4,oracle,raw,16,0.38251374494243684,0.23783831678758333,0.5271891730972904,14,0,2,0.875,0.0001220703125,1.2955326098719147
A_controlled_object_binding,hidden_property,8,oracle,raw,16,0.48902963998130244,0.32826382921466146,0.6497954507479434,14,0,2,0.875,0.0001220703125,1.4905191747433428
A_controlled_object_binding,hidden_property,16,oracle,raw,16,0.583897941424799,0.45658860423252956,0.7112072786170685,16,0,0,1.0,3.0517578125e-05,2.247360622623089
A_controlled_object_binding,hidden_property,32,oracle,raw,16,0.8208147763447529,0.761479872841616,0.8801496798478897,16,0,0,1.0,3.0517578125e-05,6.778459501289424
A_controlled_object_binding,hidden_property,64,oracle,raw,16,0.7961014662634192,0.7341944252010201,0.8580085073258182,16,0,0,1.0,3.0517578125e-05,6.3012173054093354
A_controlled_object_binding,merge_split,1,oracle,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,merge_split,2,oracle,raw,16,0.2699713561794611,0.15882913934154164,0.3811135730173806,14,0,2,0.875,0.0001220703125,1.1902404710970516
A_controlled_object_binding,merge_split,4,oracle,raw,16,0.5075233532092367,0.3549884515791752,0.6600582548392981,16,0,0,1.0,3.0517578125e-05,1.6303576454630564
A_controlled_object_binding,merge_split,8,oracle,raw,16,0.6964784822736136,0.6060757876421868,0.7868811769050404,16,0,0,1.0,3.0517578125e-05,3.775047388857732
A_controlled_object_binding,merge_split,16,oracle,raw,16,0.7774315661421978,0.6914434399849728,0.8634196922994227,16,0,0,1.0,3.0517578125e-05,4.430163610184324
A_controlled_object_binding,merge_split,32,oracle,raw,16,0.8113908039952213,0.7177230279159169,0.9050585800745258,16,0,0,1.0,3.0517578125e-05,4.244592010181212
A_controlled_object_binding,merge_split,64,oracle,raw,16,0.9028090557406662,0.8611178922245049,0.9445002192568275,16,0,0,1.0,3.0517578125e-05,10.610796149679118
A_controlled_object_binding,occlusion,1,oracle,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,occlusion,2,oracle,raw,16,0.401806086244914,0.23591557444264857,0.5676965980471794,15,0,1,0.9375,6.103515625e-05,1.18683690900108
A_controlled_object_binding,occlusion,4,oracle,raw,16,0.5058149623751739,0.3344739223097244,0.6771560024406234,15,0,1,0.9375,6.103515625e-05,1.446526363264521
A_controlled_object_binding,occlusion,8,oracle,raw,16,0.8818470638728415,0.8639183043961033,0.8997758233495797,16,0,0,1.0,3.0517578125e-05,24.101224731043366
A_controlled_object_binding,occlusion,16,oracle,raw,16,0.8642110596570843,0.8351346062258461,0.8932875130883225,16,0,0,1.0,3.0517578125e-05,14.563791978048613
A_controlled_object_binding,occlusion,32,oracle,raw,16,0.9063379675044093,0.8910976211801253,0.9215783138286934,16,0,0,1.0,3.0517578125e-05,29.140125468770925
A_controlled_object_binding,occlusion,64,oracle,raw,16,0.9111264870125177,0.8803070018638458,0.9419459721611897,16,0,0,1.0,3.0517578125e-05,14.486029746521291
A_controlled_object_binding,raw,1,oracle,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,raw,2,oracle,raw,16,0.2850109914319526,0.14322005499621096,0.4268019278676942,12,0,4,0.75,0.00048828125,0.9849387366515301
A_controlled_object_binding,raw,4,oracle,raw,16,0.5161801625090517,0.3740124721231879,0.6583478528949156,14,0,2,0.875,0.0001220703125,1.7790841149838699
A_controlled_object_binding,raw,8,oracle,raw,16,0.7472419160155361,0.6599273189936044,0.8345565130374679,16,0,0,1.0,3.0517578125e-05,4.193440173074876
A_controlled_object_binding,raw,16,oracle,raw,16,0.8543970782139607,0.82831367668734,0.8804804797405814,16,0,0,1.0,3.0517578125e-05,16.050612413322014
A_controlled_object_binding,raw,32,oracle,raw,16,0.8899898748983948,0.8769587921596431,0.9030209576371464,16,0,0,1.0,3.0517578125e-05,33.46575625702681
A_controlled_object_binding,raw,64,oracle,raw,16,0.9047787867830698,0.8968252051248264,0.9127323684413131,16,0,0,1.0,3.0517578125e-05,55.74112702598696
