experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
A_controlled_object_binding,good,observable_repair,32,13,7,1.2066336928652655,0.8183682075750925,0.0,0.0,0.0,0.0,0.1406184054297758,0.0,0.3882654852901729,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.11073702317910461,0.11073702317910461,-0.5534704068592119,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,random,32,13,29,0.5746637723791956,0.8825553545443778,0.0,0.0,0.0,0.0,0.20956908847062683,0.0,-0.3078915821651822,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.04654987620981932,0.04654987620981932,-0.5534704068592119,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,oracle,32,13,19,0.9291052307541972,0.9291052307541972,0.0,0.0,0.0,0.0,0.247987960467986,0.0,0.0,0.5219496011537426,0.8529655408322918,0.9291052307541972,0.0,0.0,-0.5534704068592119,oracle_upper_bound,True,True,eval_oracle,-1,0
A_controlled_object_binding,good,raw,64,13,62,0.6993367962302216,0.8138696359722078,0.0,0.0,0.0,0.0,0.1269579310393579,0.0,-0.11453283974198625,0.5088973606996852,0.8243529335629016,0.93686164515065,0.12299200917844211,0.12299200917844211,0.40681754757595934,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,identity_consistent,64,13,62,0.8995847962302217,0.8138696359722078,0.0,0.0,0.0,0.0,0.1269579310393579,0.0,0.08571516025801384,0.5088973606996852,0.8243529335629016,0.93686164515065,0.12299200917844211,0.12299200917844211,0.40681754757595934,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,property_calibrated,64,13,62,0.6150321688088689,0.8138696359722078,0.0,0.0,0.0,0.0,0.1269579310393579,0.0,-0.19883746716333894,0.5088973606996852,0.8243529335629016,0.93686164515065,0.12299200917844211,0.12299200917844211,0.40681754757595934,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,targeted_probe,64,13,62,0.7608552026548763,0.8138696359722078,0.0,0.0,0.0,0.0,0.1269579310393579,0.0,-0.05301443331733158,0.5088973606996852,0.8243529335629016,0.93686164515065,0.12299200917844211,0.12299200917844211,0.40681754757595934,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,combined_repair,64,13,62,1.2296213297286498,0.8138696359722078,0.0,0.0,0.0,0.0,0.1269579310393579,0.0,0.41575169375644194,0.5088973606996852,0.8243529335629016,0.93686164515065,0.12299200917844211,0.12299200917844211,0.40681754757595934,oracle_upper_bound,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,observable_repair,64,13,62,1.2126871632028453,0.8138696359722078,0.0,0.0,0.0,0.0,0.1269579310393579,0.0,0.39881752723063746,0.5088973606996852,0.8243529335629016,0.93686164515065,0.12299200917844211,0.12299200917844211,0.40681754757595934,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,random,64,13,3,0.4547823800246676,0.93686164515065,0.0,0.0,0.0,0.0,0.2140482355697083,0.0,-0.48207926512598237,0.5088973606996852,0.8243529335629016,0.93686164515065,0.0,0.0,0.40681754757595934,deployable_no_leak,False,False,none,-1,0
